USAGE_DATE,STORAGE_TB,STAGE_TB,FAILSAFE_TB,TOTAL
2022-12-08,265.794236919,0.5583736046,161.151915925,427.504526449
2022-12-09,266.008791024,0.5654676703,158.967891037,425.542149732
2022-12-10,265.103821181,0.5562365603,154.865389709,420.52544745
2022-12-11,265.719188555,0.5526786466,152.691797859,418.963665061
2022-12-12,271.245271489,0.5727801471,150.288429245,422.106480881
2022-12-13,267.387085586,0.6729186299,149.060275921,417.120280137
2022-12-14,266.258443901,0.7701484309,147.394282974,414.422875306
2022-12-15,265.771364962,0.7174856012,147.047611323,413.536461887
2022-12-16,267.69976747,0.6265875615,145.38702266,413.713377692
2022-12-17,265.521826158,0.6296292383,144.958643265,411.110098662
2022-12-18,266.016489518,0.6322005563,143.508808819,410.157498893
2022-12-19,271.406037616,0.6345353746,142.628688657,414.669261647
2022-12-20,270.644127577,0.6410808423,140.745274482,412.030482901
2022-12-21,269.364598211,0.6395573463,141.030755887,411.034911444
2022-12-22,267.868084561,0.6452126508,141.334917004,409.848214216
2022-12-23,266.627101362,0.6490533919,141.654808517,408.930963271
2022-12-24,265.68296392,0.6482776945,138.912518541,405.243760155
2022-12-25,266.224523733,0.6495813737,137.358130756,404.232235863
2022-12-26,272.487315688,0.6553012096,136.173944766,409.316561664
2022-12-27,271.277898679,0.647874423,135.328178532,407.253951634
2022-12-28,269.853404535,0.6522804027,134.396668951,404.902353888
2022-12-29,269.576351782,0.6569715959,133.931750127,404.165073505
2022-12-30,269.790700295,0.656459679,133.21626769,403.663427663
2022-12-31,270.096904121,0.6651681937,133.617622226,404.379694541
2023-01-01,269.355097168,0.6633963536,134.427114465,404.445607987
2023-01-02,274.612261235,0.667997015,134.543841456,409.824099705
2023-01-03,273.219170406,0.6727835198,134.276303035,408.16825696
2023-01-04,272.562179229,0.6769268569,133.83629685,407.075402936
2023-01-05,272.761449252,0.6788467861,134.453487361,407.893783398
2023-01-06,273.043685153,0.6899985741,135.405952843,409.13963657
2023-01-07,271.95903499,0.6893265837,136.743122474,409.391484048
2023-01-08,272.60774908,0.6917235538,136.87221091,410.171683544
2023-01-09,279.178801005,0.7012261123,138.351041443,418.23106856
2023-01-10,278.265616091,0.7150493796,140.609183146,419.589848617
